ID,Duration..in.seconds.,Finished,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Sender_Response,Responder_3,Responder_6,Responder_9,Responder_12,Responder_15,Responder_18,Responder_21,Responder_24,Responder_27,Responder_30,Comp_Sender_3,Comp_Responder_2,Attractiveness,Trustworthy,COVID_19_vaccine,COVID_19_vaccine_attitude,Mask_attitude,mask_prevents_Covid.19,Protect_themselves_or_others,understanding_difficulty,Picture_label,Order,time_taken,age,Ethnicity,Highest.education.level.completed,Nationality,Sex,Pic.Mask,Pic.Gender
267,331,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,2,3,4,5,8,10,10,10,12,£9,£2,48,47,Yes,,3,7,Only themselves,No,F4M,SenderFirst,339.173,38,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,F
74,573,TRUE,TRUE,FALSE,FALSE,TRUE,3,0,0,0,0,2,10,12,13,14,15,£9,£2,62,40,No,Strongly disagree,0,0,Equally themselves and other,No,F4U,SenderFirst,577.088,43,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,U,F
304,380,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,2,3,5,6,8,9,10,11,13,£9,£2,48,67,Yes,,3,5,Mostly others,No,F3U,SenderFirst,390.86,54,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,U,F
217,232,TRUE,TRUE,FALSE,FALSE,TRUE,3,1,2,4,6,8,10,16,18,22,15,£3,£6,38,39,Yes,,5,8,Equally themselves and other,No,M4U,ResponderFirst,242.747,44,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,U,M
273,281,TRUE,TRUE,FALSE,FALSE,TRUE,2,0,1,1,1,1,1,1,2,2,2,£9,£2,0,49,No,Somewhat agree,6,6,Mostly themselves,No,M4U,ResponderFirst,284.766,40,White/Caucasian,Graduate degree (MA/MSc/MPhil/other),Italy,Female,U,M
378,536,TRUE,TRUE,FALSE,FALSE,TRUE,10,1,3,4,6,7,9,10,12,13,15,£9,£2,32,54,Yes,,2,6,Mostly others,No,M3U,ResponderFirst,543.831,39,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,U,M
342,257,TRUE,TRUE,FALSE,FALSE,TRUE,10,1,3,4,6,7,9,10,12,13,15,£9,£2,52,71,Yes,,3,6,Equally themselves and other,No,F3M,SenderFirst,267.276,33,White/Caucasian,Secondary education (e.g. GED/GCSE),United Kingdom,Female,M,F
365,269,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,3,4,6,7,9,11,12,13,15,£9,£2,20,51,No,Strongly agree,6,6,Equally themselves and other,No,M3M,ResponderFirst,277.375,29,Mixed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,M
110,160,TRUE,TRUE,FALSE,FALSE,TRUE,10,3,6,9,12,13,16,20,20,26,25,£9,£2,48,45,Yes,,6,8,Equally themselves and other,No,F3M,SenderFirst,162.955,31,White/Caucasian,Undergraduate degree (BA/BSc/other),United Kingdom,Female,M,F
230,442,TRUE,TRUE,FALSE,FALSE,TRUE,3,1,2,4,5,7,8,10,12,12,14,£9,£2,61,58,Yes,,3,6,Mostly others,Yes,F1M,ResponderFirst,448.312,62,White/Caucasian,High school diploma/A-levels,United Kingdom,Female,M,F
