ID,Duration (in seconds),Finished,Check1,Check2,Check3,Check4,Sender,Responder3,Responder6,Responder9,Responder12,Responder15,Responder18,Responder21,Responder24,Responder27,Responder30,paired_picture,Comprehension1,Comprehension2,"Based on the information from the previous questions, and recalling that the Sender received £10 at the beginning of the interaction, how much do they earn in total?","Based on the information from the previous questions, and recalling that the Responder received £10 at the beginning of the interaction, how much do they earn in total?",attractiveness,trustworthy,vaccine,vaccine attitude,To.what.extent.do.you.think.wearing.a.mask.prevents.you.from.CATCHING.Covid.19....1,To.what.extent.do.you.think.wearing.a.mask.prevents.you.from.SPREADING.Covid.19....1,protection,behaviour,proportionofmask,party,Other party,Did.you.have.any.difficulty.understanding.any.part.of.this.task.,Picture,Picturelabel,Order,Sex
230,360,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,3,5,6,6,9,10,12,15,15,IM_0oZ7Ttwi4WedGh8,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),84,100,Yes,,7,7,Equally themselves and other,Much more frequently,2 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8,F4U,ResponderFirst,Female
107,1734,TRUE,TRUE,FALSE,FALSE,TRUE,9,1,3,3,2,6,6,9,10,13,15,IM_6l3zv93vhdkKMXc,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),68,52,Yes,,3,7,Mostly others,Less frequently,4 out of 10,Other Party (Please specify),independent,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc,F4M,SenderFirst,Female
225,758,TRUE,TRUE,FALSE,FALSE,TRUE,3,3,3,5,6,8,9,10,12,13,15,IM_aiaD9dT9bIBrq9U,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),82,92,Yes,,10,10,Equally themselves and other,As frequently,3 out of 10,Conservative Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aiaD9dT9bIBrq9U,F1U,ResponderFirst,Female
252,308,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,3,4,5,5,7,10,10,12,15,IM_0oZ7Ttwi4WedGh8,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),65,72,Yes,,8,8,Equally themselves and other,Less frequently,3 out of 10,Conservative Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8,F4U,SenderFirst,Female
114,423,TRUE,TRUE,FALSE,FALSE,TRUE,5,2,3,5,6,9,12,11,12,14,15,IM_88qvHaPboaWxCHI,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),30,79,Yes,,7,8,Mostly others,Less frequently,4 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_88qvHaPboaWxCHI,F2M,ResponderFirst,Female
194,792,TRUE,TRUE,FALSE,FALSE,TRUE,3,1,2,4,5,5,7,9,10,10,15,IM_9EIPomYaFXa0SvI,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£21  (Initial £10 plus £13 received from Sender minus £2 returned),33,45,Yes,,0,8,Only others,Less frequently,2 out of 10,Conservative Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI,F3U,SenderFirst,Female
206,223,TRUE,TRUE,FALSE,FALSE,TRUE,2,1,1,2,3,6,6,8,10,10,11,IM_2lfkHYDRurE5WOa,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),53,51,Yes,,4,4,Equally themselves and other,Much less frequently,2 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa,F1M,ResponderFirst,Female
2,541,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,2,3,4,5,9,11,12,13,15,IM_6l3zv93vhdkKMXc,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),80,46,Yes,,5,5,Equally themselves and other,More frequently,4 out of 10,Other Party (Please specify),green,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc,F4M,ResponderFirst,Female
83,360,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,IM_6l3zv93vhdkKMXc,£9,£6,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£21  (Initial £10 plus £13 received from Sender minus £2 returned),53,52,No,Strongly disagree,0,5,Only themselves,As frequently,2 out of 10,Other Party (Please specify),green,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc,F4M,ResponderFirst,Female
145,444,TRUE,TRUE,FALSE,FALSE,TRUE,5,1,2,4,4,5,7,8,10,14,12,IM_aiaD9dT9bIBrq9U,£9,£12,£22  (Initial £10 minus £3 sent plus £15 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),52,48,No,Strongly disagree,6,6,Equally themselves and other,Less frequently,7 out of 10,Did not vote,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aiaD9dT9bIBrq9U,F1U,SenderFirst,Female
178,414,TRUE,TRUE,FALSE,FALSE,TRUE,10,0,0,0,0,5,5,8,10,10,15,IM_6l3zv93vhdkKMXc,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£11  (Initial £10 plus £3 received from Sender minus £2 returned),57,74,Yes,,2,8,Equally themselves and other,Less frequently,4 out of 10,Labour Party,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc,F4M,ResponderFirst,Female
266,331,TRUE,TRUE,FALSE,FALSE,TRUE,3,0,1,2,3,5,4,1,4,5,10,IM_0oZ7Ttwi4WedGh8,£9,£2,£9  (Initial £10 minus £3 sent plus £2 received from Responder),£17  (Initial £10 plus £9 received from Sender minus £2 returned),28,39,Yes,,2,2,Equally themselves and other,Much less frequently,3 out of 10,Did not vote,,No,https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8,F4U,ResponderFirst,Female
