"","Response.ID","Consent","Comprehension_1","Comprehension_2","main_task","check_question","attractive_p1","attractive_p2","trustworthy_p1","trustworthy_p2","mask_perception","mask_wearing","PROLIFIC_PID","Amount","Amount.for.other","Picture.Bundle.1","Pic.Label.1","Picture.Bundle.2","Pic.Label.2","session_id","participant_id","status","started_datetime","completed_date_time","time_taken","age","num_approvals","num_rejections","prolific_score","reviewed_at_datetime","entered_code","Country.of.Birth","Current.Country.of.Residence","Employment.Status","Ethnicity","First.Language","Fluent.languages","Highest.education.level.completed","Nationality","Sex","Student.Status"
"15","R_uk2O71Z3g6jvQYN",1,2,1,2,"£10",68,56,68,52,"Mostly themselves","Yes","5552121afdf99b74d81d09ef","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG","F3M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aiaD9dT9bIBrq9U","F1U","62c020f2820405e5f008ea0e","5552121afdf99b74d81d09ef","APPROVED","2022-07-02 10:41:54.262000","2022-07-02 10:43:34.292000",100.03,37,378,4,100,"2022-07-04 08:47:50.196000","868E37F5","United Kingdom","United Kingdom","Full-Time","White/Caucasian","English","English","Doctorate degree (PhD/other)","United Kingdom","Male","No"
"70","R_BrprY25baeQNzcl",1,2,1,1,"£10",40,30,40,50,"Equally themselves and others","No","568aab53316b10000d50d76b","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8oCSI7ypkM0TWhU","F2U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG","F3M","62c0211c0bfbde2802f77d40","568aab53316b10000d50d76b","APPROVED","2022-07-02 10:42:37.661000","2022-07-02 10:45:15.490000",157.829,44,1575,45,95,"2022-07-04 08:48:00.872000","868E37F5","United Kingdom","United Kingdom","Full-Time","White/Caucasian","English","English","Graduate degree (MA/MSc/MPhil/other)","United Kingdom","Male","Yes"
"170","R_26frFNZj4vuimnr",1,2,1,1,"£20",69,70,50,50,"Mostly others","Yes","56a8d1f77f2472000d94fa3f","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG","F3M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aiaD9dT9bIBrq9U","F1U","62c194b3642220615a8d2e3f","56a8d1f77f2472000d94fa3f","APPROVED","2022-07-03 13:08:03.767000","2022-07-03 13:10:59.552000",175.785,75,682,6,99,"2022-07-04 08:48:06.189000","868E37F5","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","White/Caucasian","English","English","Undergraduate degree (BA/BSc/other)","United Kingdom","Female","No"
"150","R_308oyyV700I9l7F",1,2,1,2,"£20",48,51,70,77,"Mostly themselves","No","56b78f11e77ebe000cbefe79","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8","F4U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG","F3M","62c194ce4e8a1aad298664d5","56b78f11e77ebe000cbefe79","APPROVED","2022-07-03 13:08:30.589000","2022-07-03 13:10:32.183000",121.594,56,2768,21,99,"2022-07-04 08:48:13.905000","868E37F5","United Kingdom","United Kingdom","Part-Time","White/Caucasian","English","English","Undergraduate degree (BA/BSc/other)","United Kingdom","Female","No"
"37","R_3EgsziyYq47hJPV",1,2,1,2,"£20",35,40,60,50,"Equally themselves and others","No","56fd111d581aa6000f54d061","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8","F4U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG","F3M","62c020f310cb991eabbbf426","56fd111d581aa6000f54d061","APPROVED","2022-07-02 10:42:04.889000","2022-07-02 10:44:15.194000",130.305,53,2877,1,100,"2022-07-04 08:47:50.312000","868E37F5","United Kingdom","United Kingdom","Full-Time","White/Caucasian","English","English","Undergraduate degree (BA/BSc/other)","United Kingdom","Male","No"
"124","R_2azxAmBHv5qqJdv",1,2,1,2,"£10",80,79,85,78,"Equally themselves and others","No","570d45dc42a1db000ec4d1ce","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa","F1M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI","F3U","62c194bbde382b1cb9ea5312","570d45dc42a1db000ec4d1ce","APPROVED","2022-07-03 13:08:11.240000","2022-07-03 13:09:57.885000",106.645,36,582,5,99,"2022-07-04 08:48:08.738000","868E37F5","United Kingdom","United Kingdom","DATA EXPIRED","White/Caucasian","English","English","Undergraduate degree (BA/BSc/other)","United Kingdom","Female","No"
"102","R_3gZt903gvX490p3",1,2,1,2,"£10",50,35,40,55,"Only themselves","No","572f897aad13160009008979","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8","F4U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa","F1M","62c02107500d1b04e5bd30f4","572f897aad13160009008979","APPROVED","2022-07-02 10:42:20.235000","2022-07-02 10:50:16.569000",476.334,53,1330,15,98,"2022-07-04 08:47:55.199000","868E37F5","United Kingdom","United Kingdom","DATA EXPIRED","White/Caucasian","English","English, Rather not say","Undergraduate degree (BA/BSc/other)","United Kingdom","Male","No"
"169","R_Y3rzO31kUakxrcR",1,2,1,1,"£10",80,79,79,81,"Equally themselves and others","No","573dbfc9cc30e7000dc57410","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oZ7Ttwi4WedGh8","F4U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_88qvHaPboaWxCHI","F2M","62c194b6f1eaacaeb862fcc2","573dbfc9cc30e7000dc57410","APPROVED","2022-07-03 13:08:12.312000","2022-07-03 13:10:57.421000",165.109,57,1262,0,100,"2022-07-04 08:48:06.972000","868E37F5","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","White/Caucasian","English","English","Undergraduate degree (BA/BSc/other)","United Kingdom","Female","No"
"19","R_2UX7IN4LajVGcpO",1,2,1,1,"£10",50,50,50,50,"Mostly themselves","No","5836f2421bf4040001eb6a36","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc","F4M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI","F3U","62c020fceb77b8f175826bd4","5836f2421bf4040001eb6a36","APPROVED","2022-07-02 10:42:08.122000","2022-07-02 10:43:44.916000",96.794,59,2012,5,100,"2022-07-04 08:47:52.232000","868E37F5","United Kingdom","United Kingdom","Full-Time","White/Caucasian","English","English","Undergraduate degree (BA/BSc/other)","United Kingdom","Male","No"
"3","R_3OfvciMzHhiOaSq",1,2,1,1,"£20",50,31,69,27,"Equally themselves and others","Yes","58e14a980e54860001ce710a","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZqjR4g0Rn03oCG","F3M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aiaD9dT9bIBrq9U","F1U","62bf1070069e1d7eecf946a9","58e14a980e54860001ce710a","APPROVED","2022-07-01 15:19:14.576000","2022-07-01 15:20:54.393000",99.817,35,134,1,100,"2022-07-04 08:48:01.492000","868E37F5","United Kingdom","United Kingdom","Other","White/Caucasian","English","English","Undergraduate degree (BA/BSc/other)","United Kingdom","Female","Yes"
"137","R_3po2hz4Kjl43BQC",1,2,1,1,"£20",79,79,90,82,"Equally themselves and others","Yes","592a976e6489ca00013b3e72","£20","£10","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6l3zv93vhdkKMXc","F4M","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8oCSI7ypkM0TWhU","F2U","62c194c8b5494ad9ef407b5a","592a976e6489ca00013b3e72","APPROVED","2022-07-03 13:08:31.726000","2022-07-03 13:10:19.711000",107.985,46,940,7,100,"2022-07-04 08:48:12.995000","868E37F5","United Kingdom","United Kingdom","Part-Time","White/Caucasian","English","English","High school diploma/A-levels","United Kingdom","Female","No"
"120","R_2cwlUziRQy86TDE",1,2,1,2,"£10",51,50,50,50,"Mostly themselves","Yes","595398234d56070001645fd9","£10","£20","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EIPomYaFXa0SvI","F3U","https://wbs.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2lfkHYDRurE5WOa","F1M","62c194b375e2f7f2c2407b65","595398234d56070001645fd9","APPROVED","2022-07-03 13:08:03.402000","2022-07-03 13:09:54.299000",110.897,49,1231,4,100,"2022-07-04 08:48:06.049000","868E37F5","United Kingdom","United Kingdom","Part-Time","White/Caucasian","English","English","High school diploma/A-levels","United Kingdom","Female","No"
